어플 이름,리뷰 내용,별점,리뷰 작성 시 앱 버전
AI 그림일기,이런데 리뷰 첨 써보는데정말 좋아요. 사진과 함께였던 하루를 세 줄로 요약하다 보면 더 깊고 충실하게 정리가 되고 나중에 읽어보면 글만 있는 것보다 더 실감나고 좋네요~ 그런데 글을 수정하고 나면 항상 맨 앞으로 가게 되는건 좀 수정해주시면 더 좋을 것 같아요~^^,5,
AI 그림일기,"안녕하세요..4년 전부터 잘 쓰고 있던 어플이 요즘들어 계속 불편을 주고 있습니다. 일기를 쓰고 있으면 세줄일기가 응답하지 않음. 화면이 뜨고 타자를 치던 도중에 떠서 앱 닫기를 눌러버리면 쓰고 있던 일기가 다 날아가서 불편합니다. 한 두번은 괜찮았지만 정말 20번 30번 넘어가니 답답하기만 합니다. 또한 처음에 앱에 들어가면 로딩시간이 길고, 사진을 고를 때에도 로딩 시간이 많이 걸립니다..이 어플을 오래 써온만큼 애정도 있고 추억도 많이 담겨 있어 오류를 최대한 빠른 시일 내 해결해 주시길 바랍니다. 감사합니다.",4,2.1.63
AI 그림일기,"친구들과 가볍게 일상을 공유하는 용도로 요긴히 사용하고 있습니다. 다만 아쉬운 점이 있다면 한 두 달 전부터 세줄일기 글 게시, 댓글, 좋아요 등 알람이 오지 않는 것 같습니다. 비단 저의 경우 뿐이 아니고 친구들도 동일한 현상을 겪고 있고요. 알림 없어도 일기를 꾸준히 잘 쓰러 오는 친구들도 있지만, 누군가가 글을 썼다는 알림이 오면, 무슨 글일지 궁금해 들어와서 댓글도 달고 이참에 본인의 일상을 공유하는 경우가 더 많다고 생각하는데, 알림이 안 오고나서부터 일기장이 활성화되지 않고 있어 아쉬운 마음이 있습니다. 무슨 문제인지 알아봐 주시면 감사드리겠습니다.",4,2.1.63
AI 그림일기,항상 잘 쓰고 있습니다 감사합니다. 그런데 한 달 전부터인가.. 상대방이 일기를 쓰거나 댓글을 달아도 알림이 오질 않아요. 혹시나 제가 알림을 꺼놨나 싶어서 봤는데 아니었고요. 아래 다른 최근 리뷰들 보니 저만 그런 건 아닌 것 같은데 꼭 좀 확인 부탁드립니다. 알림이 안 오니 불편해요 ㅠㅠ..,5,2.1.63
AI 그림일기,언제부터인가 같이 쓰는 일기에 서로 댓글을 달거나 일기를 써도 알림이 오지 않아요.,3,2.1.63
AI 그림일기,아내랑 쓰는 비공개 일기인데 알림이 오지 않고있어요. 물론 알림은 켜둔 상태입니다. 아내도 같은 문제를 겪고있는데 해결바랍니다.,5,
AI 그림일기,일상 기록용으로 편리해요,5,2.1.63
AI 그림일기,자신에게 힘이되는 공간입니다,5,2.1.63
AI 그림일기,5일째 쓰고있는데. 간단하게 써볼라는데 쓰다보니 생각보다 길게쓰게 되네요. 광고 뜨는거와 소리가 갑자기 나는게 좀 아쉽네요,4,2.1.57
AI 그림일기,간단하게 하루를 기록할수 있어서 너무 좋아요.^^,5,2.1.63
AI 그림일기,편안하게 이용하기 쉽게 되어있어요 자질구레란 스티커가 없으니 글쓰기에 돟아요,5,2.1.63
AI 그림일기,수년째 잘 쓰고 있습니다! 근데 며칠 전부터 부부의 비공개 일기에서 서로의 알림이 안떠요~,4,2.1.63
AI 그림일기,"일기를 쓰면서 어느덧 3년이상을 쓰게 되었습니다. 내가 써온것들이 소중하고,간직할만 하다는것을 느끼게 해준 세줄일기가 고맙고 특별합니다.세줄일기가 사라지지 않길 바랍니다.",5,2.1.63
AI 그림일기,세줄일기는 꼭 세 줄만 써야하나요? 인스타그램과 연동되나요? 여자 중학생에게 권장할만한지요? 다른 수많은 일기 글쓰기 어플과 다른 특징은 무엇입니까?,3,
AI 그림일기,세줄밖에 없어 아쉽지만 숨긴글이 있어서 무한으로쓸수있다.고민글을 만들수도있고 공감할수있지만 욕설방지가 되지않아 1점빼겠다.,4,2.1.63
AI 그림일기,"정말 잘 쓰고있어요! 사진들을 추려서 매년 1권씩 포토앨범을 만들고 있는데, 다른 사진인화 사이트에서는 편집이 복잡하고 어려워서 다른 방법을 알아보던 중 세줄일기 어플을 발견해서 잘 정착해서 쓰고 있습니다. 한가지 건의하고 싶은 것은 포토북 인쇄 질을 좀 올려주셨으면 좋겠어요. 사진인화 전문 업체에서만 만들다가 넘어와서 그런건지 (제 눈이 너무 높아진걸까요.) 그냥 a4용지에 레이저 프린트로 인화해서 제본 뜬 정도밖에 되지 않아서 조금 실망했네요. 세줄일기는 데이터 베이스로 두고 다른사이트에서 포토북 만들어야 하나 생각이 들 정도로요. 얼마든지 더 금액을 지불할 용의가 있습니다. 프리미엄 라인을 추가로 만들어서라도 인화 용지 및 사진 질을 좀 개선 해주셨으면 좋겠습니다.",5,2.1.63
AI 그림일기,"오랫동안 담백하게 운영하는 플랫폼은 기존 없다고 생각합니다. 하지만 세줄일기 만큼은 배대표님의 나름의 운영철학이 확고하시고 사람중심이 곧 사랑이핵심으로 향하는 근본을 지켜내려하시는 의지가 충분하기에 진심 존경스럽습니다. 영원한것은 없지만 하루하루 영원을 살게해주심에 감사합니다. 물듦,타협,변질 되지않기를 바라",5,2.1.63
AI 그림일기,오늘 아침부터 앱이 열리지 않습니다 조치할 수 있는 방법이 있나요? 급합니다 껏다 다시 켷는데도 첨 화면 그대로~,5,2.1.63
AI 그림일기,좋은 어플이에요!!!,5,2.1.63
AI 그림일기,벌써 5년차 세줄일기 사용자 ㅎㅎ 한번씩 내가 쓴 글을 보면서 지금과 예전을 보며 나를 공감하고 나에게 위로를 건네봅니다.,5,2.1.63
AI 그림일기,지금 안들어가지는데 확인좀요 ㅠ,5,2.1.63
AI 그림일기,기록은사람의마음을기름지게합니다. 이팍팍한세상에서짤막한감성을채울수있는습관. 생각없이자극만넘치는세상에서고요히내마음을다독일수있는공간이라서감사합니다♡,5,2.1.63
AI 그림일기,예전에도 사용하고 지웠다가 이번에 다시 설치했는데 그때와 이메일도 동일한데 그전에 썼던 일기는 사라졌네요... 원래 한번 지우고 다시 설치하면 내용이 삭제되는 건가요,5,2.1.63
AI 그림일기,좋네,5,
AI 그림일기,"다른 어플 쓰다가 다시 써보려고 다운 받아서 사용하려는데 예전에 건의한 부분이 아직 그대로네요... 1.사진 고를때 스크롤이 안되는점, 2.날짜를 확인할 수 없는점, 3.사진 수정 불가인점 세가지 중 1.2번이 제일 불편해요. 과거 사진을 등록해서 앨범 만들고싶은데 날짜가 바로 보이지않아서 앨범에서 사진과 날짜를 다시 확인해야해요.. 너무 불편해요. 제발 바꿔주세요ㅠㅠ",2,2.1.63
AI 그림일기,참 좋은 어플임,5,2.1.63
AI 그림일기,혹시 책 주문하고 배송현황 알아보고 싶은데 방법은 없나요? 그리고 추가로 어플관련 문의사항은 여기다가 물어보면 될까요? 어플안에서는 Q&A할수 있는 메뉴가 없네요.,4,2.1.63
AI 그림일기,정말 좋은 어플,5,2.1.63
AI 그림일기,아주 매력적인 최고의 일기장입니다,5,2.1.63
AI 그림일기,혹시 내가 쓴 일기장 내에서 검색기능 추가해주실수 있나요? 페이지가 많아지면 읽고싶은 내용을 찾기 힘들어질 것 같아요..,5,2.1.63
AI 그림일기,간단히 일상을 작성하기에 좋아요 너무 길면 쓰기 힘듦,4,2.1.63
AI 그림일기,로그인 오류가 자주뜨네요..,3,2.1.63
AI 그림일기,매우 쓰기 편하고 나이 든 나에게는 보조기억 장치임,5,2.1.63
AI 그림일기,좋은앱이에요,5,2.1.63
AI 그림일기,제발 가로 모드여도 쓸 수 있게 해주세요. 태블릿에 키보드를 연결해서 쓰는데 앱이 세로 모드 고정이라 너무 번거롭습니다 ㅠㅠ,5,2.1.63
AI 그림일기,세줄일기 같이쓰는 일기를 할때 생성한 사람이 맴버들이 쓴 글의 순서를 바꿀수 없나요? 개인은 있던데 같이쓰는 읽기는 순서바꾸기가 안보이네요.,4,2.1.63
AI 그림일기,저 계정을 잃어버렸는데 어떻게 찾을 수 있을까요? 다시 설정하려는 이메일 자체를 아예 잃어버려서 이도저도 못하고 있어요ㅠㅠ,5,2.1.63
AI 그림일기,잘 사용하고 있습니다. 일상의 생각정리에 도움이 많이 됩니다.,5,2.1.63
AI 그림일기,세줄일기 정기결제 취소할때 모바일로 가능한가요? 아니면 전화번호가 있을까요? 나중에 어떡해야 할지 궁금합니다. 쉬운방법을 가르쳐 주세요.,5,2.1.63
AI 그림일기,평생 간직할 것입니다. 감사합니다,5,2.1.63
AI 그림일기,일기장 너무 잘 사용하고 있습니다. 다만 태블릿으로 어플 이용시 케이스를 끼우면 가로모드를 사용하게 되는데 이 어플은 회전기능 지원이 없어 이 점이 꽤 불편합니다. 다른 후기들을 확인해보니 저와 같이 태블릿 사용시 가로 모드 미지원에 대한 불편사항이 많아 보이는데 조금 더 빠르게 개선되었으면 하는 마음이 있습니다. 몇 년째 유용하게 사용 중인 어플이라 개선이 잘 되어 더 좋은 추억 기록 어플이 되면 좋겠습니다. 어플 지원에 대해 항상 감사드립니다.,5,2.1.63
AI 그림일기,새 폰을 사서 로그인해야하는데 전 폰에서 페이스북으로 로그인해서 같은 방법인 페이스북으로 로그인해야만 로그인 가능한데 새폰으로 페이스북 로그인하려고 하는데 앱의 추가 상세 정보를 업데이트 중이어서 현재 페이스북 로그인을 사용할 수 없다고 뜨는데 어떻게 로그인해야 하나요?,5,2.1.63
AI 그림일기,어느덧 햇수로 6년째 적고 있네요. 이제 습관이 되어버렸어요. 부디 오래오래 운영해 주시길.,5,2.1.63
AI 그림일기,컨셉 잘 잡았다 근데 사진좀 카테고리 늘려줬으면,5,2.1.63
AI 그림일기,일기를 쓰고 싶게 만든 공간이예요 초6아들이 담임샘께 배워와서 가족일기장을 만들었어요 마음일기 공유도 되고 나를 돌아보게 되고 좋습니다 감사드립니다,5,2.1.63
AI 그림일기,"개인적인 기록, 의미를 남기기에 딱 좋아요",5,2.1.63
AI 그림일기,좋아요. 진짜~~~ 하루하루간단히 내하루를적고 아이들성장일기를적고 반려견성장도적고 ~,5,2.1.63
AI 그림일기,"매일부담없이 세줄로 하루를 마무리할수있어서 너무 좋아요 다좋은데 한가지단점은,,쓰다가 잠깐 다른어플 들어갔다가 다시 돌아오면 중간에 쓰던거 다날라가고 첫화면부터 다시 새로고침되네요,,ㅜㅜ이거 저만그런건지,,,,?이게넘불편해요",4,2.1.63
AI 그림일기,어쩜 이리 고객감성에 딱 맞는 어플을 개발하셨는지. 존경합니다.,5,2.1.63
AI 그림일기,계속 팅겨서 삭제하고 다시 로그인하는데 계속 안되네요...,1,2.1.63
AI 그림일기,좋아요,5,
AI 그림일기,"일기 작성 시에 작성일자를 수정할 수 있는데요, 혹시 작성자가 임의로 수정한 일자가 아니라 실제 작성일을 확인할 수 있는 방법이 있을까요?",5,2.1.63
AI 그림일기,아니 다 좋은데 하루에 알림을 몇 번을 보내는 건가요; 친구가 일기 올렸나 해서 보면 그냥 쓰잘데기 없는 알림이 8할.. 애들끼리 추억용으로 쓰는 건데 알림 설정 끌 수도 없고 불쾌하네요,3,2.1.63
AI 그림일기,간단하고 쉽게 나의 일상을 기록할 수 있어 아주 좋아요.,5,2.1.63
AI 그림일기,광고없고 간편하고 pdf로 뺄수있는것 너무 좋아요!!,5,2.1.63
AI 그림일기,언니한테 추천받아서 써봤는데 내가쓴 일기가 책으로 사진과 함께 만들어져서 온다는게 너무 좋아요 오래 간직도 할수 있고 ㅎㅎ 따로 사진 인화해서 뽑을 필요도 없고 이런어플 만들어주셔서 너무 감사드리고 일하시는 분들 너무 감사드립니다. 번창 하세요.,5,2.1.63
AI 그림일기,좋은 감성일기,5,2.1.63
AI 그림일기,세상에 선한 영향력을 끼치는 좋은 sns 발명품인 것 같아요! 더더더 성장하기를 바랍니다!,5,2.1.63
AI 그림일기,중간중간 내용 사라진게 있음. 업뎃하더니 날라간건지. 짜증.... ㅠㅠ,2,2.1.63
AI 그림일기,사용하다가 로그아웃되었는데 비밀번호 변경해서 다시 들가려는데 안되는데 다른방법은 없는건가요?,5,2.1.63
AI 그림일기,하루 일과를 간단하게 남겨서 너무 좋아요,5,2.1.63
AI 그림일기,"아니 프로필 수정하거나 저장후 새로고침하면 싹 사라지고, 다시 어플 사용기록 이런거 다 지웠다가 들어가야 보이네여",2,2.1.63
AI 그림일기,"혹시 일기페이지를 다른 일기책으로 이동할 수 있는 기능은 ,,,생기기 어려울까요ㅠㅠㅠ????",5,2.1.63
AI 그림일기,너무 좋아요 하루하루 그날의 추억이 담긴 사진과 감정을 기록할 수 있어 좋습니다 숨은글 쓸때 실수로 뒤로가기를 누르면 임시저장이 안 된 채로 내용이 삭제돼서 다시 쓴적이 여러번이라 이 점 반영해주시면 감사하겠습니다(요즘엔 메모장에 쓰고 복붙하는 식으로 하고있긴합니다..ㅎㅎ) 그리고 궁금한 점이 있는데 숨은글 인쇄를 했는데 내용이 너무 많을 경우 책자에 잘려서 나오나요 아니면 페이지가 나눠지나요? 몇줄까지 들어가는지도 궁금합니다ㅎㅎ,5,2.1.63
AI 그림일기,굳,5,2.1.63
AI 그림일기,"감사합니다. 제 삶을 언제, 어디서나 남길 수 있게 해주심에",5,
AI 그림일기,앱 대기 계속뜨는데 어떡해요? ㅠㅠ,4,2.1.63
AI 그림일기,잘쓰고 있습니다,5,2.1.63
AI 그림일기,일기를 쓰자,5,2.1.63
AI 그림일기,매일 아침이나 생각날때 세줄만 쓰면 되는 부담감이 없어 좋아요. 일단 쓰기 시작하면 줄줄 이야기가 풀리거나 멈추고 싶을때 아무때나 멈출 수 있음이 좋네요. 때론 세줄의 간단 명료 단어가 큰 울림과 통찰을 줍니다. 나주에 다시 꺼내 읽어보며 스스로 칭찬할 수 있는 거리가 있습니다. 당장 시작해 보세요.,5,2.1.63
AI 그림일기,추억을 남기기에 참 좋습니다. 두 일기장을 하나로 합칠 수 있는 기능이 있다면 유용할 것 같습니다.^^,5,2.1.63
AI 그림일기,하루중 간단한 일기와 사진으로 추억을 간직 해보세요 먼 훗날 따뜻한 기억으로 하루하루가 행복 해질거예요,5,2.1.63
AI 그림일기,간단한글쓰기에 좋아요 길게쓰지 않아도 충분히 기억됩니다,5,
AI 그림일기,마음을 저장하는곳 좋아요. 자주 자주 이용할께요 감사합니당~,5,2.1.62
AI 그림일기,야 이거 재밌겠다 바로 유료 결제 했습니다 앱 잘만들었네요 잘 쓰겠습니다,5,2.1.62
AI 그림일기,같이쓰는일기가 자꾸 사라저요...,4,2.1.61
AI 그림일기,너무 잘 사용하고 있습니다. 한가지 궁금한 점이 있는데 일기책 만들기 접수를 하고 싶었는데 접수기간이 지나서 일기책을 따로 인쇄할 수 있는 방법이 혹시 있을까요?,5,2.1.61
AI 그림일기,하루를 몇문장으로 간단이나마 생각하며 정리할수 있는 공간,5,2.1.61
AI 그림일기,너무 좋아요 항상 잘 사용하고 있어요. 예전 어플들 많이 없어졌던데 없어지지 말아주세요ㅠ,5,2.1.61
AI 그림일기,"전체적으로 복잡하지 않고 가볍게 사용하기 편한것 같아요! 몇가지 아쉬운점 빼고는 정말 다 좋은 것 같아요. 먼저 일기를 쓸때 사용할 수 있는 폰트의 가짓수가 너무 적고 외부 폰트나 기타 폰트등은 사용이 불가능하고, 사진을 첨부할때 폰 내 갤러리에서 구분된 사진 폴더에서만 사진을 선택해서 일기를 작성해야하고 외부 애플리케이션이나 저장소에 저장된 이미지는 불러올 수 없거나 일일히 다시 갤러리에 저장을 하는 점, 일기나 숨은 글 작성시에 실수로 라도 화면을 돌리거나 백그라운드로 이동되면 바로 작성중이던 내용이 사라지고 사진 고르는 과정, 글 쓰는 과정 전부를 처음부터 다시 해야하는 불편함이 있습니다. 물론 개인적인 불편 사항 내지는 건의사항뿐이고, 앱을 만들어주셔서 이렇게 일기를 쓰는 습관을 들일 수 있고 계속 끊임없이 여러 앱 관리에 힘써주셔서 그 수고와 노고에 정말 굉장히 감사드리다는 말씀 드리고 싶습니다! 앱 만들어 주셔서 감사합니다. 좋은 하루 되시고 오래 하셨으면 좋겠습니다. ♥",5,2.1.61
AI 그림일기,최고의 어플. 계속 있어주셔요,5,2.1.61
AI 그림일기,^^♡,5,2.1.61
AI 그림일기,항상 잘 쓰고 있고 책 만들어주는 것도 너무 좋아요. 그냥 평범하게 일기 쓰기 싫은 사람들이 사용하면 좋은 어플입니다. 짧은 글이더라도 차곡차곡 쌓아서 책으로 만들면 그것만큼 뿌듯한 일이 없는 것 같아요. 이 어플은 오래오래 유지됐으면 좋겠어요,5,2.1.61
AI 그림일기,항상 잘 써오고 있었는대... 촤근들어 일기쓰라는 알림이 안오네요.... 다시지우고 설치 했는대도 안와요.... 왜그럴까요... 09/13 이메일로 문제상황 말씀드렸더니 며칠후 아주 잘되요 ㅎㅎㅎ 피드백이 빨라서 쓰는 사용자 입장에서 너무 좋아요~~,5,2.1.61
AI 그림일기,"앨범에서 사진 추가 하려고 하는데 대부분의 사진이 목록에서 하얗게 보여요 사진이 뜨기는 하는 것 같은데, 그 사진이 하얗게 보여서 무슨 사진인지 모르겠고 눌러서 추가해도 일기보면 사진이 추가가 안 되어 있어요.. ㅠㅠ 고쳐주세요",5,2.1.60
AI 그림일기,업데이트후 버그가 있는것인지 앱 알림기능이 사라졌습니다 폰의 시스템 문제는 아니라는데 확인부탁드려요,5,2.1.60
AI 그림일기,처음이라 잘모르겠네요,5,2.1.60
AI 그림일기,권한 허용을 해도 계속 권한허용을 하라고 하네요..,1,2.1.58
AI 그림일기,너무 잘 사용중인데 애플쓰다가 안드로이드로 넘어왔는데 로그인을 할 수가 없어요 .. 애플로그인으로 사용중이였는데 찾을 방법은 없는건가요 ??,5,2.1.57
AI 그림일기,"정말 잘쓰고 있는 어플 중 하나입니다. 고객센터에 문의하려고 했는데 전화연결이 안되서요. 일기책 인쇄신청시에 숨은글 인쇄하기 버튼이 있던데, q&a에는 또 숨은글은 인쇄가 안된다고 나와있더라구요. 다른분들 후기에서도 숨은글 인쇄는 본게없어서 숨은글이 책으로 만들면 같이 나오는지 어떤방식으로 출력이 되는지 궁금해요",5,2.1.57
AI 그림일기,굳굿귿구욷,5,
AI 그림일기,언제까지 로딩만 돌게 할건지..서버 늘릴 생각은 아애없는,1,
AI 그림일기,"새벽에 일기보다보면 하얀 화면때문에 눈이 피로해지던데, 다크모드 기능이 개발되면 좋겠습니다!",5,2.1.57
AI 그림일기,너무 잘 사용하고 있어요! 나의 하루를 되돌아보며 사진과 함께 간단히 적어볼 수 있어서 너무 좋아요! 그런데 요즘 사진을 추가하려고 누르면 계속 오류가 나면서 앱닫기와 대기 창이 반복적으로 계속 뜨는데 혹시 해결방법이 있을까요ㅠㅜㅜ,5,2.1.57
AI 그림일기,갤러리에 있는 사진으로 올리고 싶은데 사진이 빨리 안 나오고 앱 실행 안되서 대기하거나 나가져요. 사진이 9만장 이상이라 갤러리 용량이 커서 그런 것 같은데 좀 많이 늘려주셨으면 좋겠어요.,1,2.1.57
AI 그림일기,"약 2년 가까이 쓰고 있는 유저입니다. 많은 일기 어플을 사용하다 쓰기 힘들어서 다 그만두었는데 하루에 딱 세 줄만 쓰면 된다는 설명을 보고 바로 다운로드했어요. 세줄일기는 자신의 소소한 일상을 기록할 수도 있고, 소중한 사람과 일기를 함께 쓸 수도 있어요. 그동안 썼던 일기를 책으로 만들기도 가능합니다. 이제 자기 전 세줄일기를 쓰는 게 제 삶의 일부가 되었네요. 암튼 세줄일기 어플, 정말정말 좋아요. 강추합니다!!",5,2.1.57
AI 그림일기,"다 좋은데 온라인기반인지 몇가지 불편하네요. 새 읽기 입력과 수정을 하려면 와이파이 혹은 데이터 반드시 사용해야 한다는 것 즉 인터넷이 안되는 상황에서 기록할 수 없다는 점, 그리고 인터넷이 되는 상황에서도 새 일기 입력 혹은 그림 포함 일기 수정 입력시 ""작성중""이라면서 5~10초 랙을 걸린 것처럼 실행에 시간을 걸린다는 게 불편하네요.",3,2.1.57
AI 그림일기,잘쓰고있어요,5,2.1.57
AI 그림일기,자신을 읽을수있는 묘한 어플,5,2.1.57
AI 그림일기,"하루하루가 너무 똑같아서 회의감 들었는데, 기록하기 시작하니 생각보다 잘 살고 있는것 같아 살맛나네요. 다른건 꾸준히 못썻는데 세줄일기는 부담없이 기록하기 좋아요. 세줄 밖에 안되서 감정적인 글이 아니라, 차분히 정제된 글을 쓸수 있는것도 장점입니다. 사용하며 추가되면 좋겠다 싶은 기능도 있네요. 유료버전에서 글자체를 글 단위로 재설정 해야되서 조금 불편해요. 설정탭에서 페이지 읽는순서 선택하는것 처럼 페이지 기본글자체를 한번에 설정할수 있는 기능이 추가되면 좋겠어요. 또 한가지는 일기작성 페이지에서 사진을 찍으면, 핸드폰 앨범에 원본사진이 자동저장 되는 옵션이 있었으면 좋겠어요. 지금은 일기페이지에서 하나하나 다운받아야 해서 조금 불편해요. 아무튼 반나절도 안되서 유료구독 할만큼 너무 만족스러웠어요. 좋은 어플 만들어 주셔서 감사합니다. 아쉽다고 생각했던 부분이 업데이트 되면 더 감사하구요 :)",5,2.1.57
AI 그림일기,친절히 알려주셔서 잘 찾았습니다ㅎ 별도 꽉꽉 채워드렸어요!,5,2.1.57
AI 그림일기,숨은글은 인쇄되나요?,5,2.1.57
AI 그림일기,많이는 못써도 그게 장점일수도ㅋㅋ 아 글고 광고가 상대적으로 적어요,5,2.1.57
AI 그림일기,기록남기기용. 짧게세줄.딱 좋아요. 가끔 창이 안열리고 버퍼링 오래걸리는것은 단점,5,2.1.57
AI 그림일기,요번에 사용해보려하는데 인쇄할 때 페이지 순서를 바꾸려하는데 가능한가요?,4,2.1.57
AI 그림일기,처음 댓글남김.아주 좋은앱이에요.아날로그의 감성을 충분히 느끼고있어요,5,
AI 그림일기,2년동안 거르지않고 쓰고있는데 무엇보다 부담없이 글쓰는 습관을 들이기에 좋은 앱입니다.,5,2.1.57
AI 그림일기,인생은 외로운것인데 독백하기에 참 좋은 친구이다,5,2.1.57
AI 그림일기,정말 훌륭한 서비스입니다.,5,2.1.57
AI 그림일기,다 좋은데 필명 좀... 예전부터 사용하던 필명인데 계속 중복되는 필명이라고 떠서 프로필 사진을 바꿀 수가 없네요,3,2.1.57
AI 그림일기,인쇄하고 싶은 페이지를 부분 부분 설정할수 있음 좋겠어요..일기만들때 넣고 싶지 않은 페이지도 있는데..그러면 삭제해야 하는 단점이 있네요.소프트 커버 일기는 최대 400페이지까지 출력가능한데 100p나 400p나 금액은 동일한가요? 일기책 만들때 커버를 본인이 원하는 사진으로 선택할수 있는 기능 개선도 고려해봐 주세요~^^앞으로도 꾸준히 일기 작성할거에요~~~,4,2.1.57
AI 그림일기,짤은 글... 큰 위안이 됩니다.,5,2.1.57
AI 그림일기,세줄의 작은 실천이 생활을 변화시킵니다,5,2.1.57
AI 그림일기,좀 과할 수 있지만 노래도 넣을 수 있으면 좋겠어요.,5,2.1.57
